cus_id,tong_don,tong_tien,tongdon_cod,thuho_tongdon,don_ptc,don_ptc_cod,thu_ho
15966763,2141,36923300.0,1692,356555000.0,1169.0,947.0,202548000.0
15966773,5689,145233707.0,5127,780397116.0,4808.0,4416.0,649381536.0
15966859,6968,105563525.0,6126,1116975002.0,5954.0,5552.0,999765002.0
15966907,3726,62338957.0,3207,857914100.0,2907.0,2768.0,741086101.0
15966979,2317,32010770.0,1892,1071741003.0,1725.0,1619.0,915930002.0
15967109,3875,832671473.0,3453,17684058196.0,3073.0,2754.0,13867951196.0
15967205,1482,54256841.0,0,0.0,1292.0,0.0,0.0
15967332,1051,14599128.0,132,38876000.0,810.0,84.0,27821000.0
15967443,1421,26211643.0,1083,259983000.0,1003.0,820.0,196585000.0
15967544,39175,960018048.0,37272,8355252000.0,35479.0,35267.0,7916509000.0
15967601,3574,82083499.0,3368,1359256502.0,2813.0,2685.0,1081722502.0
15967756,2553,29896979.0,2089,254121111.0,2022.0,1759.0,211194982.0
15967780,1747,26920604.0,1619,15371500.0,1277.0,1275.0,12106000.0
15967792,3760,68795857.0,3538,394632101.0,3252.0,3229.0,349558101.0
15967804,4168,62944924.0,3122,1375401621.0,2439.0,2183.0,884953209.0
15967831,2618,47589668.0,2379,1019884000.0,2430.0,2247.0,963173000.0
15967981,5514,279511208.0,5309,2667615002.0,5082.0,4984.0,2522975003.0
15967998,14488,219786695.0,13427,1978320541.0,12867.0,12679.0,1870662542.0
15968136,22084,373217680.0,20458,3052546146.0,19232.0,19010.0,2833064148.0
15968219,1270,31124912.0,1206,500265000.0,1040.0,1022.0,421905000.0
15968225,12307,243511995.0,10409,3631956784.0,10607.0,9223.0,3257077784.0
15968245,2198,39865086.0,2106,375978001.0,1991.0,1954.0,348968001.0
15968278,3321,50556090.0,2212,85853003.0,2758.0,1982.0,76775003.0
15968280,1007,30092741.0,358,1020262500.0,752.0,255.0,800873500.0
15968320,13183,221201781.0,10759,3352416202.0,12372.0,10322.0,3213528202.0
15968333,1453,28499685.0,146,22406400.0,1344.0,131.0,18628000.0
15968364,223,203941289.0,156,512385000.0,123.0,98.0,290590000.0
15968382,4364,89083295.0,3357,1095364000.0,4114.0,3224.0,1056789000.0
15968407,1298,25507930.0,1167,306744000.0,981.0,945.0,248503000.0
15968507,1228,52783257.0,471,1574335648.0,1048.0,385.0,1271461948.0
15968511,5987,101342627.0,5586,598909104.0,5228.0,5211.0,559484104.0
15968768,1140,14370686.0,0,0.0,823.0,0.0,0.0
